Datetime,Open,High,Low,Close,Volume
2021-04-12T00:00:00,59939.1,61208.8,59388.2,59805.2,1.50869601576414
2021-04-13T00:00:00,59805.2,63703.6,59767.6,63542.8,1.66150040444484
2021-04-14T00:00:00,63542.8,64848.7,61287.2,62934.5,1.86639700533124
2021-04-15T00:00:00,62934.5,63779.1,62006.5,63185.7,1.56139900238645
2021-04-16T00:00:00,63186.2,63541.4,60016.3,61380.8,1.77120400497677
2021-04-17T00:00:00,61379.8,62521,59679.8,60021.4,0.81102890430487
2021-04-18T00:00:00,60035.8,60376.5,52258.3,56231.2,1.66145400795347
2021-04-19T00:00:00,56228.2,57554,54272.2,55654.1,1.90718000295089
2021-04-20T00:00:00,55654.5,57059.5,53379.7,56453.4,2.26989801063723
2021-04-21T00:00:00,56453.4,56761.7,53597.8,53767.2,2.14884800746313
2021-04-22T00:00:00,53767.2,55416,50467.7,51671.6,2.54217501548692
2021-04-23T00:00:00,51671.6,52088,47502,51128.9,2.49680101920524
2021-04-24T00:00:00,51129.3,51178.5,48734.2,50061.2,1.24303701220219
2021-04-25T00:00:00,50067.9,50539.3,47057.7,49076.1,1.45286011716953
2021-04-26T00:00:00,49076.4,54359.7,48792.7,54015.3,2.78183292118207
2021-04-27T00:00:00,54015.3,55451.9,53317.8,55030.1,1.85427200509321
2021-04-28T00:00:00,55029,56425.7,53856.8,54838.1,2.08848000700675
2021-04-29T00:00:00,54837.9,55174,52360,53538.2,1.97023200802846
2021-04-30T00:00:00,53538.3,57950.8,53043.7,57748.8,1.63062900408863
2021-05-01T00:00:00,57746.6,58486.9,57035.8,57812.5,0.861573003463263
2021-05-02T00:00:00,57812.5,57925.6,56065.1,56575.7,1.09178730463551
2021-05-03T00:00:00,56574.3,58939.2,56490.1,57161.8,1.74764300377262
2021-05-04T00:00:00,57161.8,57190.6,53102.2,53189.2,2.33990000824031
2021-05-05T00:00:00,53189.2,57913.6,52952,57472.8,1.95304480611912
2021-05-06T00:00:00,57469.3,58363.6,55279.2,56390.2,2.16631700731614
2021-05-07T00:00:00,56388.8,58656.4,55287.8,57326.7,2.36162000926345
2021-05-08T00:00:00,57326.6,59480.7,56938.5,58912.8,1.08024400508918
2021-05-09T00:00:00,58912.8,59215.8,56278,58258.8,1.22197910630773
2021-05-10T00:00:00,58258.8,59533.5,53708.9,55830.6,2.9686401151888
2021-05-11T00:00:00,55827.2,56896,54470.4,56707.4,2.75385611032639
2021-05-12T00:00:00,56707.4,57951.6,48620.3,49474.9,2.9123955130645
2021-05-13T00:00:00,49468.7,51350.3,45910.4,49648.2,3.00689721258289
2021-05-14T00:00:00,49648.2,51518.3,48860.7,49841.6,2.51128720859464
2021-05-15T00:00:00,49847.3,50663.9,46559.1,46721.3,1.47534210930127
2021-05-16T00:00:00,46719.7,49729.3,43816.3,46412.4,2.01530711922437
2021-05-17T00:00:00,46412.4,46590.7,42084.3,43523.4,3.23779301041236
2021-05-18T00:00:00,43523.4,45798,42265.9,42843.7,3.35174401069071
2021-05-19T00:00:00,42843.7,43537.2,29814,36713,3.11670251343377
2021-05-20T00:00:00,36713,42478.3,34972.1,40565.9,3.27088021650391
2021-05-21T00:00:00,40566.8,42217,33502.1,37288.2,3.21190101509126
2021-05-22T00:00:00,37287.8,38807.5,35218.9,37431.9,2.25401901768623
2021-05-23T00:00:00,37431.7,38241.6,31110.5,34651.8,3.05860802785969
2021-05-24T00:00:00,34651.8,39884.6,34432.9,38808.1,3.21514901561306
2021-05-25T00:00:00,38807.2,39793.7,36458.8,38332.7,3.31159611142369
